items,k,exact_agreement,mean_diff,mean_abs_diff
220046+223940+223946+228194,4,1.1745498537685431e-05,28.58403316928787,28.589600535594734
220046+223940+223946+230037,4,1.1745498537685431e-05,28.588731368702945,28.59002337354209
220046+223940+223946,3,1.1745498537685431e-05,28.589154206650303,28.590446211489446
223769+223938+223945+229770,4,1.1745498537685431e-05,28.591620761343215,28.59185567131397
223770+223938+223946+228194,4,1.1745498537685431e-05,28.587862201811156,28.592325491255476
223770+223940+223945+229770,4,1.1745498537685431e-05,28.590058610037705,28.592548655727693
223770+223938+223946+230037,4,1.1745498537685431e-05,28.59256040122623,28.592771820199907
220047+223939+223945+229770,4,1.1745498537685431e-05,28.593077203161887,28.593077203161887
223770+223938+223946,3,1.1745498537685431e-05,28.592983239173588,28.593194658147265
220047+223944+223945+229770,4,1.1745498537685431e-05,28.594510153983485,28.594510153983485
220046+223939+223945+229770,4,1.1745498537685431e-05,28.594968228426456,28.594968228426456
223769+223938+223945+228194,4,1.1745498537685431e-05,28.590692866958737,28.595179647400133
223769+223938+223945+230037,4,1.1745498537685431e-05,28.59539106637381,28.595625976344564
223770+223940+223945+228194,4,1.1745498537685431e-05,28.589130715653226,28.59589612281093
223769+223938+223945,3,1.1745498537685431e-05,28.59581390432117,28.596048814291922
223770+223940+223945+230037,4,1.1745498537685431e-05,28.5938289150683,28.59631896075829
220046+223944+223945+229770,4,1.1745498537685431e-05,28.596401179248055,28.596401179248055
220047+223939+223945+228194,4,1.1745498537685431e-05,28.59214930877741,28.596401179248055
223770+223940+223945,3,1.1745498537685431e-05,28.594251753015655,28.596741798705647
220047+223939+223945+230037,4,1.1745498537685431e-05,28.596847508192486,28.596847508192486
220047+223939+223945,3,1.1745498537685431e-05,28.59727034613984,28.59727034613984
220047+223944+223945+228194,4,1.1745498537685431e-05,28.59358225959901,28.59783413006965
220047+223938+228194+229770,4,1.1745498537685431e-05,28.59398160654929,28.598209986022855
220047+223944+223945+230037,4,1.1745498537685431e-05,28.598280459014084,28.598280459014084
220046+223939+223945+228194,4,1.1745498537685431e-05,28.594040334041978,28.59829220451262
223770+223940+223944+229770,4,1.1745498537685431e-05,28.59855060548045,28.598668060465826
220047+223944+223945,3,1.1745498537685431e-05,28.59870329696144,28.59870329696144
220047+223938+229770+230037,4,1.1745498537685431e-05,28.598679805964363,28.59870329696144
220046+223939+223945+230037,4,1.1745498537685431e-05,28.598738533457052,28.598738533457052
220047+223938+229770,3,1.1745498537685431e-05,28.59910264391172,28.599126134908797
220046+223939+223945,3,1.1745498537685431e-05,28.59916137140441,28.59916137140441
223769+223938+223939+229770,4,1.1745498537685431e-05,28.598679805964363,28.59926708089125
220046+223944+223945+228194,4,1.1745498537685431e-05,28.595473284863576,28.59972515533422
220046+223938+228194+229770,4,1.1745498537685431e-05,28.595872631813858,28.600101011287425
220046+223944+223945+230037,4,1.1745498537685431e-05,28.60017148427865,28.60017148427865
223769+223938+223944+229770,4,1.1745498537685431e-05,28.60011275678596,28.600253702768413
220046+223944+223945,3,1.1745498537685431e-05,28.60059432222601,28.60059432222601
220046+223938+229770+230037,4,1.1745498537685431e-05,28.600570831228932,28.60059432222601
220046+223938+229770,3,1.1745498537685431e-05,28.600993669176287,28.601017160173363
220047+223939+223944+229770,4,1.1745498537685431e-05,28.601569198604636,28.60185109056954
220047+223938+228194+230037,4,1.1745498537685431e-05,28.597751911579888,28.601980291053454
223770+223940+223944+228194,4,1.1745498537685431e-05,28.597622711095973,28.602015527549067
220047+223938+228194,3,1.1745498537685431e-05,28.598174749527242,28.60240312900081
223770+223940+223944+230037,4,1.1745498537685431e-05,28.602320910511047,28.602438365496422
223769+223938+223939+228194,4,1.1745498537685431e-05,28.597751911579888,28.602591056977413
223770+223940+223941+229770,4,1.1745498537685431e-05,28.601169851654355,28.602767239455478
223770+223940+223944,3,1.1745498537685431e-05,28.602743748458405,28.60286120344378
220047+223938+230037,3,1.1745498537685431e-05,28.602872948942316,28.602896439939393
223769+223938+223939+230037,4,1.1745498537685431e-05,28.602450110994962,28.603037385921844
223769+223938+223941+229770,4,1.1745498537685431e-05,28.602732002959865,28.6031783319043
220047+223938,2,1.1745498537685431e-05,28.603295786889674,28.60331927788675
223769+223938+223939,3,1.1745498537685431e-05,28.602872948942316,28.603460223869202
223769+223938+223944+228194,4,1.1745498537685431e-05,28.599184862401486,28.603577678854577
220046+223939+223944+229770,4,1.1745498537685431e-05,28.603460223869202,28.603742115834105
220046+223938+228194+230037,4,1.1745498537685431e-05,28.599642936844454,28.60387131631802
223769+223938+223944+230037,4,1.1745498537685431e-05,28.60388306181656,28.604024007799012
220047+223945+223946+229770,4,1.1745498537685431e-05,28.60291993093647,28.604164953781464
220046+223938+228194,3,1.1745498537685431e-05,28.600065774791812,28.60429415426538
220047+223939+223941+229770,4,1.1745498537685431e-05,28.60418844477854,28.60437637275514
223769+223938+223944,3,1.1745498537685431e-05,28.604305899763915,28.604446845746367
220046+223938+230037,3,1.1745498537685431e-05,28.604763974206886,28.60478746520396
220047+223939+223944+228194,4,1.1745498537685431e-05,28.600641304220158,28.605175066655704
220046+223938,2,1.1745498537685431e-05,28.60518681215424,28.605210303151317
220047+223939+223944+230037,4,1.1745498537685431e-05,28.605339503635232,28.605621395600135
220047+223941+223944+229770,4,1.1745498537685431e-05,28.605621395600135,28.60580932357674
220047+223939+223944,3,1.1745498537685431e-05,28.60576234158259,28.606044233547493
220046+223945+223946+229770,4,1.1745498537685431e-05,28.604810956201035,28.60605597904603
223770+223940+223941+228194,4,1.1745498537685431e-05,28.600241957269876,28.60611470653872
220046+223939+223941+229770,4,1.1745498537685431e-05,28.606079470043106,28.60626739801971
223769+223938+223941+228194,4,1.1745498537685431e-05,28.60180410857539,28.606502307990464
223770+223940+223941+230037,4,1.1745498537685431e-05,28.60494015668495,28.606537544486077
223769+223938+223941+230037,4,1.1745498537685431e-05,28.606502307990464,28.606948636934895
223770+223940+223941,3,1.1745498537685431e-05,28.60536299463231,28.60696038243343
220046+223939+223944+228194,4,1.1745498537685431e-05,28.602532329484724,28.60706609192027
223769+223938+223941,3,1.1745498537685431e-05,28.60692514593782,28.60737147488225
220047+223945+223946+228194,4,1.1745498537685431e-05,28.60199203655199,28.60748892986763
220046+223939+223944+230037,4,1.1745498537685431e-05,28.607230528899798,28.607512420864705
220046+223941+223944+229770,4,1.1745498537685431e-05,28.607512420864705,28.607700348841306
220047+223939+223941+228194,4,1.1745498537685431e-05,28.60326055039406,28.607700348841306
220046+223939+223944,3,1.1745498537685431e-05,28.607653366847156,28.60793525881206
220047+223945+223946+230037,4,1.1745498537685431e-05,28.606690235967065,28.60793525881206
220047+223939+223941+230037,4,1.1745498537685431e-05,28.607958749809136,28.60814667778574
220047+223945+223946,3,1.1745498537685431e-05,28.607113073914423,28.608358096759417
223770+223940+223946+229770,4,1.1745498537685431e-05,28.60696038243343,28.608369842257954
220047+223939+223941,3,1.1745498537685431e-05,28.608381587756494,28.608569515733095
223769+223938+223946+229770,4,1.1745498537685431e-05,28.608522533738945,28.608733952712623
220047+223941+223944+228194,4,1.1745498537685431e-05,28.60469350121566,28.609133299662904
220046+223945+223946+228194,4,1.1745498537685431e-05,28.60388306181656,28.609379955132194
220047+223941+223944+230037,4,1.1745498537685431e-05,28.609391700630734,28.609579628607335
220046+223939+223941+228194,4,1.1745498537685431e-05,28.605151575658628,28.609591374105875
220046+223945+223946+230037,4,1.1745498537685431e-05,28.608581261231635,28.60982628407663
220047+223939+223946+229770,4,1.1745498537685431e-05,28.609978975557617,28.609978975557617
220047+223941+223944,3,1.1745498537685431e-05,28.60981453857809,28.610002466554693
220046+223939+223941+230037,4,1.1745498537685431e-05,28.6098497750737,28.610037703050306
220046+223945+223946,3,1.1745498537685431e-05,28.60900409917899,28.610249122023983
220046+223939+223941,3,1.1745498537685431e-05,28.61027261302106,28.610460540997664
220046+223941+223944+228194,4,1.1745498537685431e-05,28.606584526480226,28.61102432492747
220047+223944+223946+229770,4,1.1745498537685431e-05,28.611411926379215,28.611411926379215
220046+223941+223944+230037,4,1.1745498537685431e-05,28.6112827258953,28.611470653871905
223770+223940+223946+228194,4,1.1745498537685431e-05,28.606032488048957,28.611717309341195
220046+223939+223946+229770,4,1.1745498537685431e-05,28.611870000822186,28.611870000822186
220046+223941+223944,3,1.1745498537685431e-05,28.61170556384266,28.61189349181926
223769+223938+223946+228194,4,1.1745498537685431e-05,28.607594639354467,28.612057928798787
